품종,나이,산책시간(시간),체중,성별,중성화여부,색상,음수량,성별_라벨링,중성화_라벨링,크기,크기_라벨링
골든 리트리버,2,1.5,30.0,M,N,갈,1950.0,1,0,대,2
골든 리트리버,2,1.5,31.0,M,N,금색,2015.0,1,0,대,2
골든 리트리버,2,1.5,40.0,F,N,갈색,2600.0,0,0,대,2
골든 리트리버,2,1.5,18.0,M,N,갈색,1170.0,1,0,중,1
골든 리트리버,1,1.5,22.1,F,N,갈색,1436.5,0,0,대,2
골든 리트리버,1,1.5,23.0,F,N,갈색,1495.0,0,0,대,2
골든 리트리버,1,1.5,16.0,M,N,갈/흰,1040.0,1,0,중,1
골든 리트리버,1,1.5,6.5,F,N,크림색,422.5,0,0,소,0
골든 리트리버,1,1.5,7.2,M,N,갈색,468.0,1,0,소,0
그레이 하운드,4,1.5,13.0,M,Y,회색,845.0,1,1,중,1
그레이 하운드,1,1.5,20.0,M,N,검정,1300.0,1,0,대,2
그레이트 덴,2,0.8,40.0,M,N,검정,2600.0,1,0,대,2
그레이트피레니즈,3,1.0,35.0,F,N,흰색,2275.0,0,0,대,2
네오폴리탄 마스티프,2,0.8,30.0,M,N,흑갈백,1950.0,1,0,대,2
닥스훈트,11,0.5,7.0,F,N,검정,455.0,0,0,소,0
닥스훈트,10,0.5,8.0,M,N,갈흑,520.0,1,0,소,0
닥스훈트,9,0.5,6.5,F,N,"검정색, 갈색",422.5,0,0,소,0
닥스훈트,8,0.5,6.0,M,Y,갈흑백,390.0,1,1,소,0
닥스훈트,8,0.5,8.0,F,Y,흑갈,520.0,0,1,소,0
닥스훈트,7,1.0,11.0,M,N,흑갈색,715.0,1,0,중,1
닥스훈트,7,1.0,4.0,F,Y,갈백,260.0,0,1,소,0
닥스훈트,7,1.0,7.0,F,N,"검정,갈색",455.0,0,0,소,0
닥스훈트,6,1.0,4.0,M,N,갈,260.0,1,0,소,0
닥스훈트,6,1.0,4.0,F,N,갈색,260.0,0,0,소,0
닥스훈트,6,1.0,5.0,M,N,흑갈,325.0,1,0,소,0
닥스훈트,6,1.0,7.5,M,N,"흑회색, 갈색",487.5,1,0,소,0
닥스훈트,5,1.0,5.0,M,N,갈/검,325.0,1,0,소,0
닥스훈트,5,1.0,7.5,M,Y,"검정색, 크림색",487.5,1,1,소,0
닥스훈트,5,1.0,9.2,M,N,진갈색,598.0,1,0,소,0
닥스훈트,5,1.0,9.7,M,Y,옅은 갈색/검정,630.5,1,1,소,0
닥스훈트,5,1.0,9.7,M,N,진갈색,630.5,1,0,소,0
닥스훈트,4,1.0,3.6,M,N,블랙탄,234.0,1,0,소,0
닥스훈트,4,1.0,4.5,F,N,검정,292.5,0,0,소,0
닥스훈트,4,1.0,6.0,F,N,검정/갈색,390.0,0,0,소,0
닥스훈트,3,1.0,4.4,M,N,갈/검,286.0,1,0,소,0
닥스훈트,3,1.0,4.5,M,Y,갈색,292.5,1,1,소,0
닥스훈트,3,1.0,4.5,M,Y,"흑색, 갈색",292.5,1,1,소,0
닥스훈트,3,1.0,5.6,M,N,"검정, 갈색, 황색",364.0,1,0,소,0
닥스훈트,3,1.0,7.0,M,Y,검정,455.0,1,1,소,0
닥스훈트,3,1.0,7.9,M,N,갈/검/흰,513.5,1,0,소,0
닥스훈트,3,1.0,9.0,M,Y,갈백,585.0,1,1,소,0
닥스훈트,2,1.0,5.0,M,N,흑갈,325.0,1,0,소,0
닥스훈트,2,1.0,5.0,M,Y,흑갈백,325.0,1,1,소,0
닥스훈트,2,1.0,9.3,M,N,갈/검,604.5,1,0,소,0
닥스훈트,1,1.0,4.5,F,N,"검정,갈색,황색",292.5,0,0,소,0
닥스훈트,0,0.8,2.8,M,N,갈/검,182.0,1,0,소,0
닥스훈트,0,0.8,6.5,M,N,검/갈/회,422.5,1,0,소,0
달마시안,3,1.0,23.0,M,Y,흰색/검정,1495.0,1,1,대,2
달마시안,3,1.0,25.0,M,Y,"흰색, 검정색",1625.0,1,1,대,2
도베르만,4,1.0,20.0,M,N,검갈색,1300.0,1,0,대,2
도베르만,3,1.0,28.0,M,Y,검/갈,1820.0,1,1,대,2
도베르만,3,1.0,30.0,M,N,검정,1950.0,1,0,대,2
도베르만,3,1.0,15.0,F,N,검갈,975.0,0,0,중,1
도베르만,1,1.0,13.0,M,N,검/갈,845.0,1,0,중,1
도사,7,1.0,30.0,F,N,황색,1950.0,0,0,대,2
도사,3,1.0,60.0,F,N,갈색,3900.0,0,0,대,2
도사,2,1.0,20.0,F,N,황색,1300.0,0,0,대,2
도사,1,1.0,20.0,M,N,황색,1300.0,1,0,대,2
도사,1,1.0,27.0,F,N,황색,1755.0,0,0,대,2
도사,1,1.0,27.0,M,N,황색,1755.0,1,0,대,2
도사,1,1.0,27.0,M,N,황색,1755.0,1,0,대,2
도사,1,1.0,15.0,M,N,황색,975.0,1,0,중,1
도사,1,1.0,17.0,M,N,황색,1105.0,1,0,중,1
도사,1,1.0,19.0,M,N,황색,1235.0,1,0,중,1
동경견,1,1.0,7.0,M,N,흑갈색,455.0,1,0,소,0
라브라도리트리버,7,1.5,30.0,F,N,연갈색,1950.0,0,0,대,2
라브라도리트리버,6,1.5,27.0,F,N,검정색,1755.0,0,0,대,2
라브라도리트리버,6,1.5,35.0,F,N,크림,2275.0,0,0,대,2
라브라도리트리버,5,1.5,20.0,M,Y,황색,1300.0,1,1,대,2
라브라도리트리버,5,1.5,25.0,M,N,황색,1625.0,1,0,대,2
라브라도리트리버,5,1.5,25.0,M,N,검정,1625.0,1,0,대,2
라브라도리트리버,5,1.5,25.0,M,N,크림색,1625.0,1,0,대,2
라브라도리트리버,5,1.5,26.0,M,N,크림색,1690.0,1,0,대,2
라브라도리트리버,5,1.5,26.98,M,N,크림,1753.7,1,0,대,2
라브라도리트리버,5,1.5,30.01,M,N,크림,1950.65,1,0,대,2
라브라도리트리버,5,1.5,31.0,M,N,갈/흰,2015.0,1,0,대,2
라브라도리트리버,5,1.5,35.0,M,N,크림색,2275.0,1,0,대,2
라브라도리트리버,5,1.5,37.0,M,N,흑색,2405.0,1,0,대,2
라브라도리트리버,4,1.5,23.0,F,N,검정색,1495.0,0,0,대,2
라브라도리트리버,4,1.5,25.0,F,N,크림색,1625.0,0,0,대,2
라브라도리트리버,4,1.5,32.4,M,N,검정,2106.0,1,0,대,2
라브라도리트리버,4,1.5,37.8,F,N,아이보리색,2457.0,0,0,대,2
라브라도리트리버,4,1.5,40.0,M,N,검,2600.0,1,0,대,2
라브라도리트리버,3,1.5,20.0,F,N,크림색,1300.0,0,0,대,2
라브라도리트리버,3,1.5,25.0,M,N,연갈색,1625.0,1,0,대,2
라브라도리트리버,3,1.5,25.0,M,N,갈/노,1625.0,1,0,대,2
라브라도리트리버,3,1.5,26.5,M,N,크림색,1722.5,1,0,대,2
라브라도리트리버,3,1.5,27.0,M,N,검정,1755.0,1,0,대,2
라브라도리트리버,3,1.5,27.0,M,N,흰갈색,1755.0,1,0,대,2
라브라도리트리버,3,1.5,28.0,M,N,흰/노,1820.0,1,0,대,2
라브라도리트리버,3,1.5,28.0,M,N,흑색,1820.0,1,0,대,2
라브라도리트리버,3,1.5,30.0,M,N,갈백,1950.0,1,0,대,2
라브라도리트리버,3,1.5,30.0,M,Y,갈/흰,1950.0,1,1,대,2
라브라도리트리버,3,1.5,30.0,F,N,갈색,1950.0,0,0,대,2
라브라도리트리버,3,1.5,30.0,F,Y,황색,1950.0,0,1,대,2
라브라도리트리버,3,1.5,30.0,M,N,크림색,1950.0,1,0,대,2
라브라도리트리버,3,1.5,32.0,M,Y,크림색,2080.0,1,1,대,2
라브라도리트리버,3,1.5,33.0,M,N,검,2145.0,1,0,대,2
라브라도리트리버,3,1.5,40.0,M,N,갈색,2600.0,1,0,대,2
라브라도리트리버,3,1.5,43.0,M,N,크림색,2795.0,1,0,대,2
라브라도리트리버,2,1.5,20.0,M,N,검,1300.0,1,0,대,2
라브라도리트리버,2,1.5,20.0,M,N,검정,1300.0,1,0,대,2
라브라도리트리버,2,1.5,23.7,M,Y,크림색,1540.5,1,1,대,2
라브라도리트리버,2,1.5,25.0,F,N,크림색,1625.0,0,0,대,2
라브라도리트리버,2,1.5,25.0,M,N,검,1625.0,1,0,대,2
라브라도리트리버,2,1.5,25.0,M,N,검,1625.0,1,0,대,2
라브라도리트리버,2,1.5,25.0,M,N,검,1625.0,1,0,대,2
라브라도리트리버,2,1.5,25.0,M,N,갈백,1625.0,1,0,대,2
라브라도리트리버,2,1.5,26.0,M,N,흰색,1690.0,1,0,대,2
라브라도리트리버,2,1.5,27.0,M,N,흰색,1755.0,1,0,대,2
라브라도리트리버,2,1.5,28.0,M,N,검,1820.0,1,0,대,2
라브라도리트리버,2,1.5,30.0,M,N,갈/흰/노,1950.0,1,0,대,2
라브라도리트리버,2,1.5,30.0,M,Y,검정,1950.0,1,1,대,2
라브라도리트리버,2,1.5,33.0,M,N,검정,2145.0,1,0,대,2
라브라도리트리버,2,1.5,18.0,M,N,흑,1170.0,1,0,중,1
라브라도리트리버,1,1.5,20.0,M,Y,검정색,1300.0,1,1,대,2
라브라도리트리버,1,1.5,25.0,M,N,검은색,1625.0,1,0,대,2
라브라도리트리버,1,1.5,14.0,M,N,베이지,910.0,1,0,중,1
라브라도리트리버,1,1.5,35.0,M,N,흰색,2275.0,1,0,대,2
라브라도리트리버,1,1.5,40.0,M,N,크림색,2600.0,1,0,대,2
라브라도리트리버,1,1.5,19.0,F,N,연갈,1235.0,0,0,중,1
라브라도리트리버,0,0.8,0.8,M,N,갈색,52.0,1,0,소,0
라브라도리트리버,0,0.8,0.9,F,N,갈색,58.5,0,0,소,0
라브라도리트리버,0,0.8,0.9,F,N,갈색,58.5,0,0,소,0
라브라도리트리버,0,0.8,0.9,M,N,갈색,58.5,1,0,소,0
라브라도리트리버,0,0.8,0.9,M,N,갈색,58.5,1,0,소,0
라브라도리트리버,0,0.8,2.0,F,N,흰갈색,130.0,0,0,소,0
라브라도리트리버,0,0.8,12.0,M,N,갈,780.0,1,0,중,1
라브라도리트리버,0,0.8,13.0,M,N,갈,845.0,1,0,중,1
라브라도리트리버,0,0.8,5.0,F,N,연노랑,325.0,0,0,소,0
라브라도리트리버,0,0.8,6.0,F,N,백,390.0,0,0,소,0
라브라도리트리버,0,0.8,7.0,M,N,백갈,455.0,1,0,소,0
라이카,2,1.0,30.0,M,N,백흑,1950.0,1,0,대,2
라이카,2,1.0,17.2,F,N,연갈색,1118.0,0,0,중,1
라이카,1,1.0,16.7,F,N,흰색,1085.5,0,0,중,1
라이카,1,1.0,17.0,F,N,갈색,1105.0,0,0,중,1
라이카,1,1.0,17.2,F,N,황갈색,1118.0,0,0,중,1
라이카,0,0.8,5.0,M,N,"검정,흰색",325.0,1,0,소,0
라이카,0,0.8,5.0,F,N,검정,325.0,0,0,소,0
라이카,0,0.8,5.0,F,N,"검정,갈색",325.0,0,0,소,0
라이카,0,0.8,5.0,M,N,"검정,갈색",325.0,1,0,소,0
라이카,0,0.8,5.0,F,N,"검정,흰색",325.0,0,0,소,0
로트와일러,3,1.0,25.0,M,N,검정/갈색,1625.0,1,0,대,2
로트와일러,3,1.0,25.0,M,N,흑갈,1625.0,1,0,대,2
로트와일러,3,1.0,27.0,M,N,흑갈,1755.0,1,0,대,2
마리노이즈,2,1.0,15.0,F,N,검갈색,975.0,0,0,중,1
마리노이즈,1,1.0,25.0,M,N,갈흑백,1625.0,1,0,대,2
말라뮤트,5,1.0,25.0,M,N,검정/흰색,1625.0,1,0,대,2
말라뮤트,5,1.0,33.0,M,Y,회색,2145.0,1,1,대,2
말라뮤트,4,1.0,30.0,M,N,갈백,1950.0,1,0,대,2
말라뮤트,3,1.0,20.0,M,N,검정.흰색,1300.0,1,0,대,2
말라뮤트,0,0.8,15.0,M,N,갈/흰,975.0,1,0,중,1
말티즈,18,0.5,1.5,M,N,백색,97.5,1,0,소,0
말티즈,17,0.5,4.3,M,Y,흰색,279.5,1,1,소,0
말티즈,15,0.5,2.6,F,N,흰색,169.0,0,0,소,0
말티즈,15,0.5,4.1,M,Y,백색,266.5,1,1,소,0
말티즈,14,0.5,3.5,M,Y,흰색,227.5,1,1,소,0
말티즈,13,0.5,2.3,F,N,흰색,149.5,0,0,소,0
말티즈,13,0.5,2.5,M,N,백색,162.5,1,0,소,0
말티즈,13,0.5,2.6,F,N,흰색,169.0,0,0,소,0
말티즈,13,0.5,3.0,M,Y,흰색,195.0,1,1,소,0
말티즈,13,0.5,3.6,M,N,흰색,234.0,1,0,소,0
말티즈,12,0.5,2.0,F,N,흰색,130.0,0,0,소,0
말티즈,12,0.5,2.0,M,N,흰색,130.0,1,0,소,0
말티즈,12,0.5,2.1,F,N,흰색,136.5,0,0,소,0
말티즈,12,0.5,2.4,F,N,흰색,156.0,0,0,소,0
말티즈,12,0.5,2.5,M,Y,흰색,162.5,1,1,소,0
말티즈,12,0.5,2.7,M,Y,흰색,175.5,1,1,소,0
말티즈,12,0.5,3.0,M,Y,백,195.0,1,1,소,0
말티즈,12,0.5,3.1,M,N,백색,201.5,1,0,소,0
말티즈,12,0.5,3.6,M,Y,백색,234.0,1,1,소,0
말티즈,12,0.5,3.8,M,N,흰색,247.0,1,0,소,0
말티즈,12,0.5,5.0,F,Y,백,325.0,0,1,소,0
말티즈,10,0.5,2.4,F,Y,흰색,156.0,0,1,소,0
말티즈,10,0.5,2.5,M,Y,흰색,162.5,1,1,소,0
말티즈,10,0.5,2.5,M,Y,흰색,162.5,1,1,소,0
말티즈,10,0.5,2.7,M,Y,백,175.5,1,1,소,0
말티즈,10,0.5,3.0,M,N,흰색,195.0,1,0,소,0
말티즈,10,0.5,3.0,F,N,흰색,195.0,0,0,소,0
말티즈,10,0.5,3.0,M,Y,흰색,195.0,1,1,소,0
말티즈,10,0.5,3.2,M,N,흰,208.0,1,0,소,0
말티즈,10,0.5,3.5,M,Y,백색,227.5,1,1,소,0
말티즈,10,0.5,3.7,F,Y,하양,240.5,0,1,소,0
말티즈,10,0.5,3.8,F,N,흰색,247.0,0,0,소,0
말티즈,10,0.5,4.0,M,Y,흰색,260.0,1,1,소,0
말티즈,10,0.5,4.0,M,Y,백,260.0,1,1,소,0
말티즈,10,0.5,4.4,M,N,흰,286.0,1,0,소,0
말티즈,10,0.5,5.0,M,Y,흰색,325.0,1,1,소,0
말티즈,10,0.5,5.0,M,N,백,325.0,1,0,소,0
말티즈,10,0.5,9.0,M,Y,백색,585.0,1,1,소,0
말티즈,9,0.5,2.4,F,Y,흰색,156.0,0,1,소,0
말티즈,9,0.5,3.0,M,Y,백,195.0,1,1,소,0
말티즈,9,0.5,3.3,M,Y,흰색,214.5,1,1,소,0
말티즈,9,0.5,3.6,M,Y,흰색,234.0,1,1,소,0
말티즈,9,0.5,3.6,M,Y,흰색,234.0,1,1,소,0
말티즈,9,0.5,3.8,M,N,흰색,247.0,1,0,소,0
말티즈,9,0.5,4.6,M,Y,백색,299.0,1,1,소,0
말티즈,9,0.5,5.0,M,Y,백색,325.0,1,1,소,0
말티즈,9,0.5,5.0,M,N,흰색,325.0,1,0,소,0
말티즈,9,0.5,5.5,M,N,백색,357.5,1,0,소,0
말티즈,9,0.5,6.5,M,Y,백,422.5,1,1,소,0
말티즈,8,0.5,1.5,F,N,흰색,97.5,0,0,소,0
말티즈,8,0.5,1.8,M,Y,흰색,117.0,1,1,소,0
말티즈,8,0.5,2.5,M,Y,백색,162.5,1,1,소,0
말티즈,8,0.5,2.5,M,N,흰색,162.5,1,0,소,0
말티즈,8,0.5,3.0,M,Y,백,195.0,1,1,소,0
말티즈,8,0.5,3.3,M,N,흰,214.5,1,0,소,0
말티즈,8,0.5,3.4,F,N,흰색,221.0,0,0,소,0
말티즈,8,0.5,3.5,M,Y,흰색,227.5,1,1,소,0
말티즈,8,0.5,3.8,M,Y,흰,247.0,1,1,소,0
말티즈,8,0.5,3.9,F,N,흰색,253.5,0,0,소,0
말티즈,8,0.5,4.0,F,N,흰색,260.0,0,0,소,0
말티즈,8,0.5,4.0,M,Y,흰색,260.0,1,1,소,0
말티즈,8,0.5,4.2,M,N,흰색,273.0,1,0,소,0
말티즈,8,0.5,4.2,M,Y,흰,273.0,1,1,소,0
말티즈,8,0.5,4.3,M,N,흰색,279.5,1,0,소,0
말티즈,8,0.5,4.5,M,Y,흰색,292.5,1,1,소,0
말티즈,8,0.5,4.6,M,Y,흰색,299.0,1,1,소,0
말티즈,8,0.5,4.8,F,N,흰색,312.0,0,0,소,0
말티즈,8,0.5,4.9,M,N,흰색,318.5,1,0,소,0
말티즈,8,0.5,5.0,M,Y,백,325.0,1,1,소,0
말티즈,8,0.5,6.4,M,N,백색,416.0,1,0,소,0
말티즈,7,0.8,1.5,M,Y,흰,97.5,1,1,소,0
말티즈,7,0.8,2.0,M,Y,흰색,130.0,1,1,소,0
말티즈,7,0.8,2.0,F,N,흰색,130.0,0,0,소,0
말티즈,7,0.8,2.2,M,N,흰,143.0,1,0,소,0
말티즈,7,0.8,2.7,M,Y,흰,175.5,1,1,소,0
말티즈,7,0.8,3.0,M,Y,백색,195.0,1,1,소,0
말티즈,7,0.8,3.5,M,N,흰색,227.5,1,0,소,0
말티즈,7,0.8,4.0,M,N,백,260.0,1,0,소,0
말티즈,7,0.8,4.0,M,Y,백,260.0,1,1,소,0
말티즈,7,0.8,4.0,F,N,백,260.0,0,0,소,0
말티즈,7,0.8,5.6,M,Y,흰색,364.0,1,1,소,0
말티즈,7,0.8,6.4,M,Y,흰색,416.0,1,1,소,0
말티즈,6,0.8,2.0,F,N,흰색,130.0,0,0,소,0
말티즈,6,0.8,2.0,M,N,흰색,130.0,1,0,소,0
말티즈,6,0.8,2.0,M,N,흰색,130.0,1,0,소,0
말티즈,6,0.8,2.3,M,Y,흰색,149.5,1,1,소,0
말티즈,6,0.8,2.6,M,Y,흰,169.0,1,1,소,0
말티즈,6,0.8,2.6,F,N,흰색,169.0,0,0,소,0
말티즈,6,0.8,2.8,F,Y,흰색,182.0,0,1,소,0
말티즈,6,0.8,3.0,M,Y,백,195.0,1,1,소,0
말티즈,6,0.8,3.4,M,Y,흰색,221.0,1,1,소,0
말티즈,6,0.8,3.4,M,N,백색,221.0,1,0,소,0
말티즈,6,0.8,3.5,M,Y,흰색,227.5,1,1,소,0
말티즈,6,0.8,4.0,M,Y,흰,260.0,1,1,소,0
말티즈,6,0.8,4.0,M,N,백,260.0,1,0,소,0
말티즈,6,0.8,4.64,M,Y,백색,301.59999999999997,1,1,소,0
말티즈,6,0.8,4.7,M,Y,백색,305.5,1,1,소,0
말티즈,6,0.8,5.0,M,Y,흰색,325.0,1,1,소,0
말티즈,6,0.8,5.3,M,Y,백색,344.5,1,1,소,0
말티즈,6,0.8,6.0,M,Y,흰색,390.0,1,1,소,0
말티즈,6,0.8,6.7,M,Y,흰,435.5,1,1,소,0
말티즈,5,0.8,2.0,F,N,흰색,130.0,0,0,소,0
말티즈,5,0.8,2.3,M,Y,흰색,149.5,1,1,소,0
말티즈,5,0.8,2.8,M,N,흰색,182.0,1,0,소,0
말티즈,5,0.8,2.9,F,N,흰,188.5,0,0,소,0
말티즈,5,0.8,3.0,M,Y,흰색,195.0,1,1,소,0
말티즈,5,0.8,3.0,F,N,흰색,195.0,0,0,소,0
말티즈,5,0.8,3.0,M,Y,흰색,195.0,1,1,소,0
말티즈,5,0.8,3.06,M,Y,하양,198.9,1,1,소,0
말티즈,5,0.8,3.18,F,N,하양,206.70000000000002,0,0,소,0
말티즈,5,0.8,3.4,M,N,흰/갈,221.0,1,0,소,0
말티즈,5,0.8,3.5,M,N,흰색,227.5,1,0,소,0
말티즈,5,0.8,3.8,M,N,흰색,247.0,1,0,소,0
말티즈,5,0.8,3.8,F,N,흰색,247.0,0,0,소,0
말티즈,5,0.8,3.86,M,N,백색,250.9,1,0,소,0
말티즈,5,0.8,4.0,M,N,백,260.0,1,0,소,0
말티즈,5,0.8,4.0,M,N,백,260.0,1,0,소,0
말티즈,5,0.8,4.0,M,Y,백,260.0,1,1,소,0
말티즈,5,0.8,4.0,M,Y,흰색,260.0,1,1,소,0
말티즈,5,0.8,4.1,F,N,흰색,266.5,0,0,소,0
말티즈,5,0.8,4.56,M,Y,하양,296.4,1,1,소,0
말티즈,5,0.8,5.0,M,Y,흰색,325.0,1,1,소,0
말티즈,5,0.8,6.06,M,N,백색,393.9,1,0,소,0
말티즈,4,0.8,1.9,F,Y,갈색,123.5,0,1,소,0
말티즈,4,0.8,2.3,M,Y,흰색,149.5,1,1,소,0
말티즈,4,0.8,2.5,M,N,백,162.5,1,0,소,0
말티즈,4,0.8,2.6,M,N,흰색,169.0,1,0,소,0
말티즈,4,0.8,2.8,M,Y,흰색,182.0,1,1,소,0
말티즈,4,0.8,2.8,M,Y,흰색,182.0,1,1,소,0
말티즈,4,0.8,3.0,M,N,흰색,195.0,1,0,소,0
말티즈,4,0.8,3.0,M,Y,백,195.0,1,1,소,0
말티즈,4,0.8,3.3,M,Y,흰,214.5,1,1,소,0
말티즈,4,0.8,3.4,F,N,흰색,221.0,0,0,소,0
말티즈,4,0.8,3.9,M,N,백색,253.5,1,0,소,0
말티즈,4,0.8,4.0,M,Y,흰색,260.0,1,1,소,0
말티즈,4,0.8,4.0,M,N,흰색,260.0,1,0,소,0
말티즈,4,0.8,4.0,M,N,백,260.0,1,0,소,0
말티즈,4,0.8,4.2,M,Y,흰,273.0,1,1,소,0
말티즈,4,0.8,4.6,M,Y,백색,299.0,1,1,소,0
말티즈,4,0.8,4.7,F,N,흰색,305.5,0,0,소,0
말티즈,4,0.8,4.7,M,N,흰색,305.5,1,0,소,0
말티즈,4,0.8,5.6,F,Y,흰색,364.0,0,1,소,0
말티즈,3,0.8,1.5,M,Y,흰색,97.5,1,1,소,0
말티즈,3,0.8,2.0,F,N,흰색,130.0,0,0,소,0
말티즈,3,0.8,2.1,M,N,백색,136.5,1,0,소,0
말티즈,3,0.8,2.1,M,N,백색,136.5,1,0,소,0
말티즈,3,0.8,2.4,M,Y,흰색,156.0,1,1,소,0
말티즈,3,0.8,2.5,M,N,흰색,162.5,1,0,소,0
말티즈,3,0.8,2.7,M,Y,흰색,175.5,1,1,소,0
말티즈,3,0.8,3.0,M,N,흰색,195.0,1,0,소,0
말티즈,3,0.8,3.0,M,N,백,195.0,1,0,소,0
말티즈,3,0.8,3.0,M,Y,백,195.0,1,1,소,0
말티즈,3,0.8,3.0,M,N,흰/갈,195.0,1,0,소,0
말티즈,3,0.8,3.1,F,N,흰색,201.5,0,0,소,0
말티즈,3,0.8,3.2,M,Y,흰색,208.0,1,1,소,0
말티즈,3,0.8,3.3,M,Y,흰,214.5,1,1,소,0
말티즈,3,0.8,3.3,F,N,"검정색, 흰색",214.5,0,0,소,0
말티즈,3,0.8,3.4,M,N,흰,221.0,1,0,소,0
말티즈,3,0.8,3.5,M,Y,흰색,227.5,1,1,소,0
말티즈,3,0.8,3.6,F,N,흰색,234.0,0,0,소,0
말티즈,3,0.8,3.6,M,N,흰색,234.0,1,0,소,0
말티즈,3,0.8,3.7,M,N,흰색,240.5,1,0,소,0
말티즈,3,0.8,3.8,M,N,흰색,247.0,1,0,소,0
말티즈,3,0.8,3.8,F,N,흰색,247.0,0,0,소,0
말티즈,3,0.8,3.9,M,Y,흰,253.5,1,1,소,0
말티즈,3,0.8,3.9,F,Y,아이보리,253.5,0,1,소,0
말티즈,3,0.8,3.92,M,Y,하양,254.79999999999998,1,1,소,0
말티즈,3,0.8,4.0,M,N,흰색,260.0,1,0,소,0
말티즈,3,0.8,4.0,M,N,흰색,260.0,1,0,소,0
말티즈,3,0.8,4.1,M,N,흰색,266.5,1,0,소,0
말티즈,3,0.8,4.4,M,N,흰색,286.0,1,0,소,0
말티즈,3,0.8,4.5,M,N,흰색,292.5,1,0,소,0
말티즈,3,0.8,4.5,M,N,흰색,292.5,1,0,소,0
말티즈,3,0.8,4.7,M,Y,백색,305.5,1,1,소,0
말티즈,3,0.8,5.0,M,Y,백,325.0,1,1,소,0
말티즈,3,0.8,5.0,M,N,백색,325.0,1,0,소,0
말티즈,3,0.8,5.0,M,Y,백,325.0,1,1,소,0
말티즈,3,0.8,5.0,M,N,백,325.0,1,0,소,0
말티즈,3,0.8,5.6,F,N,흰색,364.0,0,0,소,0
말티즈,3,0.8,6.0,M,N,백,390.0,1,0,소,0
말티즈,3,0.8,7.5,M,N,옅은황색,487.5,1,0,소,0
말티즈,2,0.8,2.2,M,N,하양,143.0,1,0,소,0
말티즈,2,0.8,2.3,M,N,백색,149.5,1,0,소,0
말티즈,2,0.8,2.6,M,Y,흰,169.0,1,1,소,0
말티즈,2,0.8,2.8,M,N,흰,182.0,1,0,소,0
말티즈,2,0.8,2.8,F,Y,흰색,182.0,0,1,소,0
